"mjestoID","naziv","postanskiBroj"
202,"Beograd",11000
203,"Novi Sad",21000
204,"Niš",18000
205,"Kragujevac",34000
206,"Sarajevo",71000
207,"Banja Luka",78000
208,"Tuzla",75000
209,"Zenica",72000
210,"Bijeljina",76300
211,"Prijedor",79101
